Return,steps
0.0,368.0
4.0,348.0
1.0,296.0
-9.8,230.0
5.0,359.0
3.0,316.0
4.0,420.0
-7.8,255.0
-3.0,285.0
1.0,393.0
3.0,295.0
9.0,414.0
-8.8,250.0
5.0,410.0
-8.8,245.0
-8.8,250.0
5.0,400.0
3.0,322.0
3.0,437.0
1.0,325.0
-8.8,230.0
-8.8,255.0
1.0,260.0
-9.8,250.0
-7.8,235.0
3.0,300.0
5.0,420.0
-7.8,235.0
2.0,366.0
2.0,339.0
-7.8,250.0
-7.8,255.0
18.0,512.0
3.0,336.0
-1.0,246.0
-8.8,250.0
2.0,289.0
-9.8,252.0
4.0,428.0
-8.8,250.0
4.0,331.0
-2.0,338.0
-4.8,300.0
1.0,346.0
-2.0,257.0
-2.0,294.0
3.0,320.0
6.0,442.0
4.0,296.0
-7.8,235.0
13.0,447.0
-7.8,235.0
11.2,311.0
-1.0,350.0
-2.0,374.0
-9.8,245.0
-8.8,235.0
-6.8,230.0
-1.0,353.0
-7.8,235.0
-9.8,230.0
-1.0,407.0
2.0,364.0
2.0,379.0
2.0,276.0
2.0,392.0
2.0,298.0
1.0,324.0
7.0,431.0
-9.8,258.0
8.0,365.0
2.0,395.0
-2.0,288.0
-8.8,256.0
-9.8,230.0
-7.8,235.0
0.0,297.0
2.0,316.0
3.0,505.0
-8.8,230.0
0.0,421.0
-7.8,235.0
1.0,383.0
1.0,367.0
-2.0,241.0
-8.8,245.0
-9.8,250.0
12.0,420.0
-7.8,235.0
-8.8,235.0
-8.8,250.0
-8.8,255.0
-8.8,230.0
2.0,295.0
2.0,331.0
-4.0,272.0
-9.8,249.0
1.0,273.0
-1.0,289.0
2.0,320.0
-8.8,250.0
-9.8,260.0
1.0,306.0
1.0,302.0
4.399999999999999,286.0
2.0,277.0
-9.8,230.0
-9.8,258.0
0.0,353.0
-5.0,284.0
1.0,328.0
-8.8,250.0
1.0,251.0
15.0,450.0
4.0,426.0
-7.8,235.0
-1.0,300.0
6.0,372.0
-8.8,245.0
-8.8,230.0
3.0,366.0
-9.8,230.0
2.0,333.0
-8.8,237.0
1.0,363.0
